"I/E",ccc,serial,"tax number",name,area,address,phone,109i,109e,108i,108e,107i,107e,106i,106e,105i,105e
E,8708,1,"24797576",貝里斯商越將國際股份有限公司台灣分公司,臺中市,臺中市西屯區市政北二路２９號２４樓之１　,"",M,K,M,J,M,J,M,J,M,J
E,8708,2,"54976111",美商昶泓國際有限公司台灣分公司,新北市,新北市深坑區北深路三段１５５巷１１號３樓,"02-2662-2279",L,I,L,H,M,M,M,M,M,M
E,8708,3,"51320884",美商億業有限公司台灣分公司,臺南市,臺南市中西區永福路一段１８９號５樓Ｂ３室,"06-2158866",M,H,L,C,M,C,L,G,M,M
E,8708,4,"29130116",三易電子科技股份有限公司,新北市,新北市樹林區佳園路２段６１之８號２樓,"02-26805501",L,L,L,K,L,K,L,K,L,K
E,8708,5,"66528503",嗡鳴國際有限公司,新北市,新北市新莊區西盛街３８７巷３４弄２２號２樓,"02-28126638",M,L,M,L,M,L,M,M,M,M
E,8708,6,"29171235",艾沙國際有限公司,新北市,新北市鶯歌區尖山路１７４巷３５弄３０衖１號１樓,"02-26771829",M,L,M,K,L,K,M,L,M,J
E,8708,7,"12871255",群格有限公司,台北市,台北市中正區重慶南路一段５７號１１樓之１４,"02-2388-9555",L,K,L,J,L,J,L,J,L,J
E,8708,8,"84710223",香港商艾比太平洋工業有限公司台灣分公司,台北巿,台北巿復興北路３５４號之１‧６樓,"02-25013030",M,L,M,K,M,J,M,K,M,J
E,8708,9,"79986798",亞特實業有限公司,新北市,新北市蘆洲區長興路３５１號,"02-2289-8386",M,M,M,L,M,L,M,L,M,L
E,8708,10,"20806779",勝騰興業有限公司,臺中市,臺中市潭子區勝利路１００號８樓之２,"04-25328259",M,L,M,L,M,L,M,L,M,L
E,8708,11,"16263844",源銘宏企業有限公司,台南市,台南市和順工業區永安二街５３號,"06-3550100",M,K,M,I,M,H,L,I,M,I
E,8708,12,"22176827",全美國際有限公司,新北市,新北市中和區建一路１６２號地下１層之１,"02-82263988",L,L,L,L,L,L,L,L,L,L
E,8708,13,"89368373",一嵩工業股份有限公司,彰化縣,彰化縣秀水鄉平安路６３號,"04-7683100",L,L,L,J,L,I,L,I,L,I
E,8708,14,"97489483",大訊科技股份有限公司,桃園市,桃園市八德區長安街３０６號,"03-3759000",A,A,A,A,A,A,A,A,A,A
E,8708,15,"16980584",睦茗精密齒輪股份有限公司,臺中市,臺中市潭子區中山路三段３１３號１樓,"04-25352288",K,F,J,A,J,A,J,B,J,C
E,8708,16,"84585870",和幸興股份有限公司,桃園市,桃園市八德區建國路６６７號,"03-3712389",M,M,M,L,M,L,M,L,M,L
E,8708,17,"16792540",朱崴國際股份有限公司,台北市,台北市內湖區安康路３２巷１７號５樓,"02-27922727",L,I,L,D,L,F,L,E,L,F
E,8708,18,"85028508",圓捷國際實業有限公司,臺北市,臺北市中山區樂群二路95號4樓之3,"02-77206707",M,L,M,M
E,8708,19,"97257322",鈞豐金屬工業股份有限公司,彰化縣,彰化縣埤頭鄉彰水路４段５８１號,"04-8910016",M,K,L,J,L,J,L,J,L,I
E,8708,20,"12970591",利滙科技股份有限公司,臺中市,臺中市大雅區中清路三段８３９號２樓,"04-25600511",J,I,I,E,I,F,J,G,I,E
E,8708,21,"27641128",雍御企業股份有限公司,臺南市,臺南市關廟區埤頭里關新路一段288號,"06-595-3689",K,F,I,A,J,A,I,A,J,A
E,8708,22,"96938878",泉志有限公司,臺北市,臺北市信義區基隆路１段１４９號３樓之３,"02-26559222",L,K,L,J,L,J,L,J,L,J
E,8708,23,"84523621",亞太電器股份有限公司,新北市,新北市新莊區民安西路１２之３號４樓,"02-29080080",M,L,M,L,M,L,M,L,M,L
E,8708,24,"12841871",徠通科技股份有限公司,臺中市,臺中市南屯區精科路２０號,"04-23599688",L,I,L,E,L,A,L,A,L,C
E,8708,25,"42754851",亞炘實業有限公司,桃園市,桃園市平鎮區南平路二段５１３巷４２號１樓,"03-4965622",M,L,M,L,M,L,L,L,M,L
