"I/E",ccc,serial,"tax number",name,area,address,phone,109i,109e,108i,108e,107i,107e,106i,106e,105i,105e
I,3920,1,"24762491",三帝瑪有限公司,新北市,新北市永和區保生路１號９樓之５,"02-22316389",L,L,L,L,K,L,K,L,L,L
I,3920,2,"70587124",氟豹工業有限公司,新北市,新北市八里區博物館路９號,"02-26104912",L,M,L,M,L,M,L,M,L,M
I,3920,3,"11833655",台灣明尼蘇達礦業製造股份有限公司,臺北市,臺北市南港區經貿二路１９８號３樓至８樓　,"02-27859338",A,A,A,A,A,A,A,A,A,A
I,3920,4,"13111388",台灣明尼蘇達光電股份有限公司,臺南市,臺南市新市區臺南科學工業園區環東路１段３１２號,"02-27049011",A,A,A,A,A,A,A,A,A,A
I,3920,5,"86879225",三銘事業有限公司,台北市,台北市中山區民權東路二段２０６號５樓之１,"02-22789339",L,M,K,M,L,M,L,M,L,M
I,3920,6,"51077184",香港商路發企業有限公司台灣分公司,臺北市,臺北市大安區忠孝東路４段１６０號１樓,"02-87733922",K,M,I,M,J,M,J,M,L,M
I,3920,7,"24312849",七海國際實業股份有限公司,臺北市,臺北市中山區南京東路二段１０１號１１樓,"02-25221737",L,M,L,M,L,M,L,M,L,L
I,3920,8,"70740648",博源企業有限公司,彰化縣,彰化縣溪州鄉舊眉村中山路四段３８７巷１２５號１樓,"04-8899061",L,L,L,L,L,L,L,L,L,L
I,3920,9,"53952956",義品國際有限公司,臺北市,臺北市北投區公舘路２３７號１樓,"02-28988511",L,M,L,M,L,M,L,L,L,L
I,3920,10,"04700201",元烽企業有限公司,新竹縣,新竹縣芎林鄉文德路２０６巷１５號,"035-921028",L,L,L,L,L,L,L,J,L,L
I,3920,11,"22522313",艾波比股份有限公司,臺北市,臺北市內湖區基湖路１８號１０樓,"02-87516090",A,L,A,J,A,K,A,I,A,I
I,3920,12,"27793807",啟翔輕金屬科技股份有限公司,桃園市,桃園市新屋區埔頂里埔頂路６號,"03-4970808",C,L,A,H,A,H,A,J,A,I
I,3920,13,"45011782",千如電機工業股份有限公司,桃園市,桃園市楊梅區水美里楊湖路一段四二二號,"03-4788088",C,I,A,E,A,D,A,D,A,E
I,3920,14,"16444732",盈正豫順電子股份有限公司,新北市,新北市新店區寶高路７巷３號１樓,"02-2917-6857",F,H,A,F,A,E,A,F,A,G
I,3920,15,"16130774",兆勁科技股份有限公司竹南分公司,苗栗縣,苗栗縣竹南鎮公義里友義路七七號,"037-580777",B,A,A,A,B,A,C,A,G,A
I,3920,16,"28043579",嵩達光電科技股份有限公司,宜蘭縣,宜蘭縣冬山鄉德興四路９號,"03-9907777",L,J,J,F,K,G,J,H,J,J
I,3920,17,"54946692",亞思立科技有限公司,桃園市,桃園市中壢區圓光路一段５３１號２樓,"03-3260824",L,M,M,M,L,M,M,M,M,M
I,3920,18,"23726960",上鶴股份有限公司,新北市,新北市新莊區新北大道３段７號９樓之３,"02-85228299",L,M,L,M,L,M,L,M,L,M
I,3920,19,"28901889",台灣東京精密股份有限公司,新竹縣,新竹縣竹北市中和街１９９號２樓,"03-5531300",A,M,A,L,A,L,A,L,A,L
I,3920,20,"22099287",智邦科技股份有限公司,新竹巿,新竹巿科學園區研新三路１號,"03-5770270",A,A,A,A,A,A,A,A,A,A
I,3920,21,"54295537",微多利應用材料有限公司,新北市,新北市淡水區文化路６３號６樓之１２,"02-26297932",L,M,L,M,L,M,M,M,M,M
I,3920,22,"86715602",立煌企業有限公司,臺北巿,臺北巿大安區青田街八之一號一樓,"02-23941393",L,M,K,M,K,M,K,M,K,M
I,3920,23,"97344396",旭利興有限公司,臺中市,臺中市神岡區神圳路５號,"04-25611888",L,L,L,L,L,L,L,L,L,L
I,3920,24,"03244705",萬洲化學股份有限公司,臺北巿,臺北巿內湖區行善路３９７號６樓,"02-81706199",D,A,A,A,A,A,A,A,C,A
I,3920,25,"28928732",阿基里斯先進科技股份有限公司,新竹市,新竹市東區公道五路二段４１５號６樓　,"03-5737300",K,L,J,L,J,K,J,J,K,J
I,3920,26,"54053910",艾客美有限公司,新北市,新北市土城區忠承路１１９號１１樓,"02-22689171",L,M,K,M,L,M,L,M,K,M
I,3920,27,"86237433",育鼎精密工業股份有限公司,桃園市,桃園市八德區新興路５５號,"03-3629889",K,K,I,J,I,J,J,K,J,K
I,3920,28,"59151989",甲四方國際實業有限公司,高雄市,高雄市仁武區鳳仁路２７８號１樓,"0976831711",L,M,L,M,L,M,L,L,M,M
I,3920,29,"97309237",欣昭實業股份有限公司,臺北巿,臺北巿松山區南京東路四段１８６號１３樓之１４,"02-86635158",L,M,J,M,J,M,K,M,K,M
I,3920,30,"28601285",聯誠精工有限公司,高雄市,高雄市左營區重愛路３５６號４樓,"07-3591990",L,M,L,M,L,M,L,M,L,M
I,3920,31,"84354060",哲固資訊科技股份有限公司,桃園市,桃園市蘆竹區新莊村大興路二十巷二十一弄十一號三樓,"03-3135577",J,F,H,A,G,A,G,A,H,A
I,3920,32,"36144993",龍昌兄弟股份有限公司,桃園市,桃園市平鎮區東龍街１１９３號,"03-4601193",K,I,H,I,I,H,H,C,K,H
I,3920,33,"53662422",比利時商艾迪比有限公司台灣分公司,臺北市,臺北市大安區復興南路二段２８３號６樓,"02-27039977",L,M,J,M,I,M,J,M,L,L
I,3920,34,"27608583",合大吉光電有限公司,臺南市,臺南市麻豆區港尾里港子尾５８－１１號,"06-5705239",L,M,L,M,L,M,L,M,L,M
I,3920,35,"27559154",艾德通科技有限公司,臺北市,臺北市大安區光復南路６３０號５樓,"02-2705-3744",L,M,K,M,L,M,L,M,L,M
I,3920,36,"27528420",台灣艾迪科精密化學股份有限公司,台南市,台南市安南區工業六路３２號１、２樓,"06-3841388",D,J,A,H,B,I,B,J,C,J
I,3920,37,"23526962",愛德蘭絲股份有限公司,臺北市,臺北市中正區館前路43號3樓,"02-23753679",L,L,L,L,L,L,L,L,L,L
I,3920,38,"24708700",鴻鐽國際有限公司,新北市,新北市汐止區新台五路１段７７號６樓之７,"02-26989258",L,M,L,M,L,M,L,M,L,M
I,3920,39,"16742182",聯致科技股份有限公司,桃園市,桃園市蘆竹區南山路２段４９８之２號,"03-3246000",L,I,K,G,K,E,K,E,J,D
I,3920,40,"16443570",璟德電子工業股份有限公司,新竹縣,新竹縣湖口鄉自強路１６號,"03-5987008",C,A,F,A,E,A,A,A,G,A
I,3920,41,"70461666",台灣艾儀有限公司,新北市,新北市中和區中山路３段１１０號１０樓,"02-82215599",A,M,A,L,A,L,A,M,A,M
I,3920,42,"96856411",易鼎股份有限公司,桃園市,桃園市中壢區松江南路１號,"03-4627101",L,F,K,A,L,A,L,A,L,A
I,3920,43,"22532826",明安國際企業股份有限公司,高雄巿,高雄巿小港區中林路二十六號,"07-8721410",H,C,A,A,A,A,A,A,B,A
I,3920,44,"70849083",明安國際企業股份有限公司高雄加工出口區分公司,高雄市,高雄市前鎮區高雄加工出口區南五路２號,"07-8213851",L,H,L,A,L,A,L,A,L,A
I,3920,45,"22445371",可旺企業有限公司,臺北市,臺北市大安區仁愛路4段300巷31弄5號1樓,"02-27017475",L,M,L,M,L,M,L,M,L,M
I,3920,46,"70848839",日月光半導體製造股份有限公司中壢分公司,桃園市,桃園市中壢區復華里中華路１段５５０號,"03-4527121",A,A,A,A,A,A,A,A,A,A
I,3920,47,"76027628",日月光半導體製造股份有限公司,高雄巿,高雄巿楠梓加工出口區經三路２６號,"07-3617131",A,A,A,A,A,A,A,A,A,A
I,3920,48,"80429510",碩展科技股份有限公司,新北市,新北市中和區橋和路１２０號１１樓之１,"02-2246-7733",K,L,J,L,K,L,L,K,L,L
I,3920,49,"84307927",怡凡得股份有限公司,新北市,新北市五股區五工一路１１３號,"02-22901789",H,I,F,G,F,H,F,H,F,I
I,3920,50,"97272288",復冠科技股份有限公司,桃園市,桃園市桃園區文中路４９３號９樓,"03-3709900",L,M,L,M,K,M,L,M,L,L
I,3920,51,"28459392",昇泓材料有限公司,台北市,台北市中正區泰安街８號４樓,"02-23510351",K,M,J,M,I,M,I,M,I,M
I,3920,52,"12869552",虹天科技有限公司,桃園市,桃園市龜山區文二三街５０號,"03-3280135",M,M,L,L,L,L,L,L,L,L
I,3920,53,"42623943",艾洛斯科技有限公司,臺北市,臺北市大安區建國南路１段２８６巷５０號１樓,"02-27844938",L,M,L,L,L,M,M,L,M,M
I,3920,54,"97324075",利翔航太電子股份有限公司,新竹巿,新竹巿新竹科學工業園區研發二路３０號２樓,"03-5643912-2171",L,J,I,D,J,E,I,D,K,F
I,3920,55,"24459370",久弘國際企業股份有限公司,臺北市,臺北市信義區信義路５段５號（６樓６Ｅ１５室）,"02-27237189",M,L,L,L,L,L,M,M,L,L
I,3920,56,"28823890",台灣愛克發材料科技股份有限公司,臺北市,臺北市中山區松江路２３７號３樓,"02-66188998",I,M,H,M,G,M,H,M,H,M
I,3920,57,"70747570",台灣安捷倫科技股份有限公司,桃園市,桃園市平鎮區高雙路２０號２樓,"03-495-9200",A,M,A,M,A,L,A,L,A,L
I,3920,58,"70498690",照農實業股份有限公司,新北市,新北市新店區新生街１８巷６號１樓,"02-29179249",L,M,J,M,I,M,J,M,K,L
I,3920,59,"55966651",愛得電子股份有限公司,臺中市,臺中市神岡區社南里中山路六六七巷六五號,"04-25620100",L,L,L,K,L,K,L,K,L,K
I,3920,60,"97160544",漢翔航空工業股份有限公司,臺中巿,臺中巿西屯區西平里２４鄰漢翔路１號,"04-27020001",A,A,A,A,A,A,A,A,A,A
I,3920,61,"42703501",愛沐精品衛浴股份有限公司,彰化縣,彰化縣秀水鄉彰秀路６１號,"04-7515734",L,M,L,M,L,M,L,M,L,M
I,3920,62,"76025059",台灣愛光塑膠股份有限公司,高雄巿,高雄巿楠梓加工出口區內環南路三十號,"",K,I,J,A,I,A,I,A,I,A
I,3920,63,"11381701",亞洲航空股份有限公司,臺南市,臺南市仁德區機場路１０５０號,"06-2681911",A,K,A,H,A,I,A,J,A,K
I,3920,64,"11072509",三福氣體股份有限公司,臺北市,臺北市中山區中山北路二段２１號５樓,"02-2521-4161",A,K,A,J,A,J,A,J,A,J
I,3920,65,"23696142",富泰空調科技股份有限公司,新竹縣,新竹縣湖口鄉光復路５８之１號,"03-6105668",L,K,K,G,I,A,J,D,J,H
I,3920,66,"27732400",亞比斯包材工場股份有限公司,新北市,新北市新店區安興路９５巷４號１樓,"02-22123659",L,J,J,I,J,J,K,K,L,K
I,3920,67,"28987083",新加坡商東南亞空中巴士直升機股份有限公司台灣分公司,高雄市,高雄市小港區鳳福路８２號１樓,"07-8230577",J,M,I,L,I,M,J,L,K,L
I,3920,68,"24268689",台灣超碩股份有限公司,新竹市,新竹市武陵路２號１０樓　,"03-5340168",J,L,G,L,H,L,H,L,I,L
I,3920,69,"54066561",安森科技材料股份有限公司,臺南市,臺南市仁德區仁義里義林路256巷168-1號,"06-2496885",J,J,I,F,I,F,G,E,A,D
I,3920,70,"20916488",瑞士商愛爾康大藥廠股份有限公司台灣分公司,臺北市,臺北市中正區仁愛路２段９９號１１樓,"02-23229300",A,M,A,M,A,M,A,M,A,M
I,3920,71,"53298487",友廣貿易有限公司,臺中市,臺中市烏日區烏日里民生八街１８號４樓,"04-23389293",L,L,L,J,L,J,L,I,L,I
I,3920,72,"24249038",全球精業科技有限公司,臺中市,臺中市梧棲區草湳里港埠路１段６２７號１樓,"04-26398618",L,L,L,L,L,L,L,L,L,L
I,3920,73,"28176789",盡見貿易有限公司,臺北市,臺北市中山區松江路４３１巷２９號,"02-25030837",L,L,K,L,K,L,K,L,K,L
I,3920,74,"28427717",日商全日本空輸股份有限公司台灣分公司,臺北市,臺北市中山區南京東路三段１６８號３樓,"02-27513758",L,L,L,L,L,L,L,L,L,L
I,3920,75,"23944136",喜美包裝企業股份有限公司,桃園市,桃園市蘆竹區南崁路二段200號,"03-3215688",L,I,K,E,K,E,I,F,K,H
I,3920,76,"24720578",好萊得綠能股份有限公司,新北市,新北市林口區中山路６３號４樓,"02-26028939",L,L,L,L,L,L,L,L,L,L
I,3920,77,"27997056",裕隆行國際運通股份有限公司自由貿易港分公司,桃園市,桃園市大園區航翔路５號７樓之３,"03-3995845",A,A,A,A,A,A,A,A,A,A
I,3920,78,"85866454",谷源塑膠股份有限公司,高雄市,高雄市鳳山區鎮北里鳳仁路１１０巷５號,"02-27425708",L,K,L,I,L,I,L,I,L,I
I,3920,79,"12435655",歐樺應用材料股份有限公司,桃園市,桃園市楊梅區三湖里楊湖路二段６４５號,"03-4726606",L,L,L,L,L,L,L,L,L,L
I,3920,80,"89716605",山太士股份有限公司,新竹縣,新竹縣竹北市中和街１９１巷１５弄１號,"035550999",J,K,I,J,H,J,I,H,J,H
I,3920,81,"36075449",上品綜合工業股份有限公司,臺北市,臺北市中山區民族東路１２號４樓,"02-25976222",H,B,C,A,F,A,E,A,C,A
I,3920,82,"54047782",禾桀科技股份有限公司,新北市,新北市五股區五權七路７１號,"02-22900555",L,I,L,D,K,D,J,F,L,F
I,3920,83,"86956947",羅一國際股份有限公司,臺南市,臺南市永康區永大路一段１３８號,"06-2731507",J,A,G,A,A,A,F,A,G,A
I,3920,84,"24484574",蓁世達實業有限公司,新北市,新北市新店區寶興路４５巷９弄３號５樓,"02-2916-0918",L,K,L,J,L,J,L,J,L,J
I,3920,85,"07637358",新耀鐸國際股份有限公司,桃園市,桃園市龜山區大華里文化七路１１１號８樓之１６,"03-3972755",L,M,L,M,L,M,L,M,L,M
I,3920,86,"53121117",利芃國際股份有限公司,臺北市,臺北市北投區文林北路２２０號２樓,"02-28277996",A,A,A,A,A,A,A,A,A,A
I,3920,87,"23749008",僑邦鋁業有限公司,台北巿,台北巿民權東路３段１４４號７樓之５,"02-29061336",L,M,G,M,G,M,H,M,H,M
I,3920,88,"53184219",合衍空間有限公司,新北市,新北市樹林區備內街１巷３７號２樓,"02-26879626",L,M,L,M,L,M,L,M,L,M
I,3920,89,"64895124",亞馬遜花卉股份有限公司,臺南市,臺南市後壁區烏樹里烏樹林２９０號,"06-6856225",L,L,L,L,L,M,M,M,M,M
I,3920,90,"29045104",安美得生醫股份有限公司,新北市,新北市五股區五權七路１４號之１,"02-22981755",K,L,I,L,J,L,K,L,M,L
I,3920,91,"28854746",技航科技股份有限公司,臺北市,臺北市內湖區基湖路３５巷１３號７樓之１,"02-66066622",K,E,H,A,K,A,I,A,L,A
I,3920,92,"70498018",有量科技股份有限公司,桃園市,桃園市龜山區嶺頂里茶專路６號,"03-2631212",L,I,G,J,H,J,H,J,I,K
I,3920,93,"16631664",艾克爾國際科技股份有限公司,桃園市,桃園市龍潭區中豐路高平段１號,"03-4116000",A,A,A,A,A,A,A,A,A,A
I,3920,94,"80543913",愛茉莉太平洋股份有限公司,臺北市,臺北市信義區忠孝東路5段68號22樓,"02-27221199",E,M,A,M,A,M,A,M,A,M
I,3920,95,"16040605",譯衡工業股份有限公司,臺南市,臺南市安南區顯宮里科技三路８號,"06-3840666",L,K,L,J,L,G,L,H,L,H
I,3920,96,"16440433",晶釆光電科技股份有限公司,新北市,新北市汐止區新台五路一段１１６號４樓,"02-26967269",H,A,D,A,F,A,G,A,H,A
I,3920,97,"30929883",揚博科技股份有限公司,台北巿,台北巿信義區松德路１７１號１７樓,"02-27262220",E,A,A,A,A,A,B,A,A,A
I,3920,98,"16449201",艾科盟國際有限公司,臺中市,臺中市后里區三豐路四段１３０巷１９號,"04-25566800",L,L,L,K,L,K,L,L,L,L
I,3920,99,"45138557",安潔生技股份有限公司,高雄市,高雄市大寮區大寮路６８６巷３０弄７號,"07-7886608",L,M,L,M,L,L,L,M,M,M
I,3920,100,"68212348",安培企業股份有限公司,臺南市,臺南市新市區港墘里興業路１１號,"06-5991226",K,I,J,E,J,E,I,D,J,E
I,3920,101,"85237511",安盛輪胎行,桃園市,桃園市大園區竹圍里竹圍街１８之１號１樓,"0938712897",L,M,L,M,M,M,M,M,M,M
